id,clip_count
30001,11
30002,2
30003,26
30004,41
30005,49
30006,67
30007,52
30008,3
30009,21
30010,42
30011,13
30012,75
30013,57
30014,38
30015,9
30016,72
30017,11
30018,6
30019,49
30020,72
30021,63
30022,25
30023,70
30024,22
30025,41
30026,11
30027,53
30028,23
30029,33
30030,52
30031,7
30032,14
30033,62
30034,30
30035,43
30036,35
30037,71
30038,39
30039,50
30040,8
30041,74
30042,38
30043,3
30044,3
30045,47
30046,43
30047,0
30048,51
30049,27
30050,38
30051,26
30052,39
30053,18
30054,68
30055,21
30056,5
30057,69
30058,33
30059,31
30060,27
30061,11
30062,24
30063,55
30064,34
30065,1
30066,59
30067,60
30068,17
30069,35
30070,2
30071,7
30072,10
30073,47
30074,72
30075,35
30076,25
30077,10
30078,3
30079,13
30080,35
30081,13
30082,68
30083,59
30084,39
30085,73
30086,45
30087,23
30088,31
30089,30
30090,10
30091,68
30092,26
30093,23
30094,23
30095,44
30096,35
30097,72
30098,58
30099,69
30100,0
30101,58
30102,13
30103,55
30104,72
30105,3
30106,40
30107,34
30108,17
30109,71
30110,65
30111,27
30112,26
30113,4
30114,73
30115,29
30116,62
30117,69
30118,41
30119,13
30120,62
30121,12
30122,39
30123,41
30124,0
30125,13
30126,44
30127,56
30128,66
30129,42
30130,68
30131,59
30132,70
30133,15
30134,60
30135,14
30136,18
30137,17
30138,36
30139,42
30140,63
30141,70
30142,19
30143,47
30144,66
30145,11
30146,52
30147,32
30148,6
30149,58
30150,56
30151,50
30152,75
30153,71
30154,4
30155,2
30156,20
30157,38
30158,8
30159,60
30160,61
30161,7
30162,47
30163,28
30164,49
30165,3
30166,1
30167,27
30168,14
30169,56
30170,71
30171,10
30172,56
30173,41
30174,13
30175,21
30176,32
30177,3
30178,68
30179,12
30180,12
30181,28
30182,61
30183,49
30184,13
30185,65
30186,56
30187,66
30188,40
30189,6
30190,4
30191,63
30192,34
30193,31
30194,22
30195,66
30196,38
30197,19
30198,21
30199,65
30200,48
30201,13
30202,59
30203,73
30204,13
30205,74
30206,57
30207,26
30208,56
30209,28
30210,50
30211,16
30212,17
30213,19
30214,27
30215,3
30216,53
30217,49
30218,45
30219,51
30220,14
30221,16
30222,51
30223,55
30224,37
30225,11
30226,25
30227,58
30228,65
30229,46
30230,41
30231,48
30232,10
30233,1
30234,32
30235,65
30236,34
30237,39
30238,27
30239,25
30240,31
30241,69
30242,68
30243,8
30244,35
30245,9
30246,13
30247,39
30248,15
30249,75
30250,74
30251,57
30252,3
30253,33
30254,5
30255,14
30256,30
30257,54
30258,72
30259,28
30260,56
30261,68
30262,17
30263,65
30264,67
30265,27
30266,55
30267,45
30268,2
30269,62
30270,50
30271,31
30272,4
30273,6
30274,5
30275,53
30276,23
30277,30
30278,72
30279,4
30280,44
30281,46
30282,21
30283,34
30284,4
30285,8
30286,0
30287,27
30288,20
30289,0
30290,56
30291,75
30292,75
30293,16
30294,0
30295,8
30296,46
30297,72
30298,46
30299,31
30300,75
30301,64
30302,28
30303,29
30304,1
30305,18
30306,28
30307,70
30308,15
30309,72
30310,68
30311,14
30312,8
30313,15
30314,39
30315,55
30316,70
30317,41
30318,74
30319,34
30320,58
30321,42
30322,3
30323,73
30324,46
30325,33
30326,35
30327,65
30328,19
30329,72
30330,47
30331,39
30332,29
30333,22
30334,45
30335,11
30336,67
30337,49
30338,33
30339,46
30340,15
30341,14
30342,5
30343,12
30344,61
30345,57
30346,32
30347,9
30348,59
30349,75
30350,38
30351,17
30352,64
30353,12
30354,51
30355,52
30356,10
30357,72
30358,64
30359,49
30360,29
30361,8
30362,58
30363,72
30364,34
30365,46
30366,56
30367,40
30368,17
30369,40
30370,63
30371,17
30372,67
30373,44
30374,50
30375,30
30376,65
30377,73
30378,43
30379,68
30380,32
30381,62
30382,63
30383,38
30384,27
30385,14
30386,13
30387,13
30388,68
30389,73
30390,54
30391,53
30392,39
30393,24
30394,53
30395,16
30396,45
30397,40
30398,34
30399,50
30400,5
30401,66
30402,22
30403,60
30404,4
30405,45
30406,71
30407,75
30408,61
30409,72
30410,44
30411,30
30412,36
30413,23
30414,17
30415,40
30416,44
30417,42
30418,7
30419,50
30420,67
30421,69
30422,15
30423,27
30424,70
30425,57
30426,37
30427,50
30428,58
30429,58
30430,73
30431,59
30432,24
30433,38
30434,4
30435,7
30436,22
30437,6
30438,59
30439,48
30440,3
30441,54
30442,47
30443,22
30444,11
30445,4
30446,32
30447,73
30448,63
30449,63
30450,70
30451,5
30452,31
30453,2
30454,17
30455,46
30456,53
30457,61
30458,18
30459,28
30460,37
30461,66
30462,58
30463,1
30464,17
30465,52
30466,67
30467,10
30468,57
30469,23
30470,26
30471,13
30472,7
30473,34
30474,18
30475,6
30476,42
30477,11
30478,32
30479,36
30480,21
30481,50
30482,15
30483,42
30484,28
30485,1
30486,28
30487,49
30488,32
30489,49
30490,30
30491,53
30492,10
30493,30
30494,72
30495,4
30496,8
30497,74
30498,20
30499,17
30500,14
30501,13
30502,56
30503,8
30504,33
30505,62
30506,64
30507,53
30508,30
30509,57
30510,31
30511,38
30512,46
30513,20
30514,62
30515,7
30516,7
30517,66
30518,39
30519,71
30520,3
30521,51
30522,61
30523,16
30524,50
30525,33
30526,40
30527,54
30528,39
30529,51
30530,42
30531,69
30532,16
30533,62
30534,68
30535,54
30536,37
30537,6
30538,55
30539,53
30540,34
30541,23
30542,15
30543,49
30544,31
30545,15
30546,15
30547,27
30548,44
30549,41
30550,56
30551,70
30552,36
30553,62
30554,10
30555,10
30556,7
30557,12
30558,8
30559,34
30560,52
30561,15
30562,53
30563,2
30564,69
30565,18
30566,14
30567,53
30568,55
30569,61
30570,50
30571,62
30572,34
30573,54
30574,32
30575,74
30576,67
30577,51
30578,3
30579,28
30580,24
30581,57
30582,31
30583,50
30584,60
30585,23
30586,43
30587,14
30588,8
30589,42
30590,33
30591,49
30592,60
30593,57
30594,19
30595,23
30596,51
30597,21
30598,75
30599,33
30600,12
30601,49
30602,28
30603,43
30604,65
30605,8
30606,71
30607,39
30608,28
30609,71
30610,26
30611,44
30612,55
30613,51
30614,50
30615,21
30616,60
30617,56
30618,16
30619,17
30620,71
30621,43
30622,39
30623,18
30624,57
30625,15
30626,14
30627,30
30628,51
30629,23
30630,67
30631,57
30632,19
30633,74
30634,72
30635,75
30636,13
30637,3
30638,10
30639,64
30640,32
30641,37
30642,4
30643,24
30644,10
30645,38
30646,40
30647,54
30648,3
30649,27
30650,69
30651,59
30652,0
30653,46
30654,2
30655,58
30656,75
30657,12
30658,20
30659,13
30660,49
30661,74
30662,35
30663,14
30664,44
30665,66
30666,12
30667,33
30668,67
30669,25
30670,64
30671,64
30672,32
30673,23
30674,14
30675,72
30676,66
30677,22
30678,14
30679,40
30680,18
30681,40
30682,38
30683,59
30684,38
30685,12
